"","TP","Site","Transect_ID","PQ","Category","Total_cover"
"422","April_2022","CB","CB3","2","Encrusting Montipora",0
"423","April_2022","CB","CB3","2","Goniopora",0
"424","April_2022","CB","CB3","2","Green Turf",0
"425","April_2022","CB","CB3","2","Macroalgae",12
"426","April_2022","CB","CB3","2","Other",0
"427","April_2022","CB","CB3","2","Other Turf",3
"428","April_2022","CB","CB3","2","Other benthic invertebrates",0
"429","April_2022","CB","CB3","2","Other hard coral",0
"430","April_2022","CB","CB3","2","Plating Acropora",66
"431","April_2022","CB","CB3","2","Plating Montipora",0
"432","April_2022","CB","CB3","2","Platygyra",0
"433","April_2022","CB","CB3","2","Pocilloporidae",3
"434","April_2022","CB","CB3","2","Porites",0
"435","April_2022","CB","CB3","2","Red Turf",0
"436","April_2022","CB","CB3","2","Rubble and Rock",0
"437","April_2022","CB","CB3","2","Sand",16
"438","April_2022","CB","CB3","3","Acanthastrea",0
"439","April_2022","CB","CB3","3","Black Turf",0
"440","April_2022","CB","CB3","3","Branching Acropora",4
"441","April_2022","CB","CB3","3","Encrusting Montipora",16
"442","April_2022","CB","CB3","3","Goniopora",0
"443","April_2022","CB","CB3","3","Green Turf",0
"444","April_2022","CB","CB3","3","Macroalgae",0
"445","April_2022","CB","CB3","3","Other",0
"446","April_2022","CB","CB3","3","Other Turf",2
"447","April_2022","CB","CB3","3","Other benthic invertebrates",2
"448","April_2022","CB","CB3","3","Other hard coral",0
"449","April_2022","CB","CB3","3","Plating Acropora",61
"450","April_2022","CB","CB3","3","Plating Montipora",0
"451","April_2022","CB","CB3","3","Platygyra",0
"452","April_2022","CB","CB3","3","Pocilloporidae",2
"453","April_2022","CB","CB3","3","Porites",0
"454","April_2022","CB","CB3","3","Red Turf",0
"455","April_2022","CB","CB3","3","Rubble and Rock",0
"456","April_2022","CB","CB3","3","Sand",13
"457","April_2022","CB","CB3","4","Acanthastrea",0
"458","April_2022","CB","CB3","4","Black Turf",0
"459","April_2022","CB","CB3","4","Branching Acropora",0
"460","April_2022","CB","CB3","4","Encrusting Montipora",0
"461","April_2022","CB","CB3","4","Goniopora",0
"462","April_2022","CB","CB3","4","Green Turf",0
"463","April_2022","CB","CB3","4","Macroalgae",0
"464","April_2022","CB","CB3","4","Other",0
"465","April_2022","CB","CB3","4","Other Turf",0
"466","April_2022","CB","CB3","4","Other benthic invertebrates",0
"467","April_2022","CB","CB3","4","Other hard coral",0
"468","April_2022","CB","CB3","4","Plating Acropora",0
"469","April_2022","CB","CB3","4","Plating Montipora",0
"470","April_2022","CB","CB3","4","Platygyra",0
"471","April_2022","CB","CB3","4","Pocilloporidae",0
"472","April_2022","CB","CB3","4","Porites",0
"473","April_2022","CB","CB3","4","Red Turf",0
"474","April_2022","CB","CB3","4","Rubble and Rock",0
"475","April_2022","CB","CB3","4","Sand",100
"476","April_2022","CB","CB3","5","Acanthastrea",0
"477","April_2022","CB","CB3","5","Black Turf",0
"478","April_2022","CB","CB3","5","Branching Acropora",0
"479","April_2022","CB","CB3","5","Encrusting Montipora",0
"480","April_2022","CB","CB3","5","Goniopora",0
"481","April_2022","CB","CB3","5","Green Turf",0
"482","April_2022","CB","CB3","5","Macroalgae",1
"483","April_2022","CB","CB3","5","Other",0
"484","April_2022","CB","CB3","5","Other Turf",0
"485","April_2022","CB","CB3","5","Other benthic invertebrates",0
"486","April_2022","CB","CB3","5","Other hard coral",0
